,indices,choices,search,bm25,prev_bm25,next_bm25
0,19778,Q: You hit me... Picard never hit me. SISKO: I'm not Picard. Q: Indeed not. You're much easier to provoke. How fortunate for me.,not picard,11.22237074806235,6.118059018569723,2.568390250299413
1,118205,"PICARD: Is this your doing, Q -- ? Q: Not this time, Picard. PICARD: Mister Worf, see if there's anything we can do to cut through the interference and beam them out of there.",not picard,10.492086035040558,0.0,0.0
2,93196,MOVAR: It will make matters simpler if the captain is cooperative... but we are prepared to move in any case. TORAL: Why not just kill Picard? B'ETOR: Fool! Do we want the Federation as our enemy?,not picard,10.055836918971337,0.0,0.0
3,84461,"PICARD: That's an order, Counselor. TROI: You're not Captain Picard. PICARD/LWAXANA: Leave me alone... please...",not picard,9.952384683485201,0.0,0.0
4,131562,"KORRIS: I will demand Captain Picard give us access to the Battle Bridge. We will separate from the rest of the ship, and together, we will light up the galaxy. Imagine the fear which will roll before us. WORF: Captain Picard will not comply. KORRIS: He cannot -- dare not -- refuse us. In order to save themselves, they will give us what we demand -- then, brother, we are free.",not picard,9.465490286716628,2.375667732982247,1.8373338204811216
5,140105,"PICARD: May I sleep on it? GALEN: Dream not of today, Mister Picard. PICARD: ""Dream not of today."" The night blessing of the Yash-El.",not picard,9.283815723280664,0.0,2.7545014354618287
6,98264,"PICARD: Captain, maintain an emergency transport schedule at our beam-in coordinates... K'VADA: I do not take orders from you, Picard. PICARD: P'tah Jol Ginquol! Katah! You will lock on those coordinates at sixty minute intervals after our arrival.",not picard,8.94061484318181,0.0,0.0
7,104304,SOVAK: You've put together quite a little team. AJUR: You must not interrupt Captain Picard... SOVAK: Quiet. Move back with the others.,not picard,8.858743107419864,0.0,0.0
8,107970,"PICARD: There is no delay. It is the time I have chosen. DURAS: Exactly one hour, Picard. Do not be late. DURAS: Keep that pahtk away from the ceremony, Picard. He has no place on a Klingon ship.",not picard,8.77835721063546,0.0,4.135390150923942
9,141357,OKONA: I'll make it easy on both of us. I'll just call you Tiger. DATA: Captain Picard is not fond of nicknames. OKONA: Your gallant Captain Picard. I'd like to meet him... I'll stroll on the bridge and say hello.,not picard,8.699417068219027,0.0,3.903068781402019
10,139605,"KELSEY: You're the only one who needs a deal, Mott. PICARD: My name's not Mott. It's Jean-Luc Picard. KELSEY: Captain Picard... this is all beginning to make sense...",not picard,8.699417068219027,0.0,5.1167621782895765
11,104707,"BEVERLY: We are involved. I saved his life. For what? So they could chase him down and take that life away? SUNAD: Picard -- we will not tolerate more delays. PICARD: Commander, let me remind you we are on a mission of exploration... our purpose is to establish peaceful relations with the civilizations we encounter.",not picard,8.699417068219027,0.0,0.0
12,96155,"PICARD: Sleep. TROI: It is Captain Picard speaking, not Locutus. PICARD: Sleep. Data.",not picard,8.545720789969163,0.0,0.0
13,103868,"RIKER: Right now, all we have are suspicions... not enough to act upon. The next move is his. THOLL: Well, Picard? Prove to us you're not the enemy. PICARD: I can't.",not picard,8.325096297495207,2.2477690405638944,0.0
14,112215,LEMEC: Do you have anything to say? JELLICO: Captain Picard was not acting under my orders. LEMEC: And if we wish to execute him?,not picard,8.254064690838113,0.0,0.0
15,89274,"PICARD: And if you each know the officers you inhabit, you know they are equally ready to give their lives for this ship. Free them now... And I will return you to the moon's surface. TROI: I advise you, Picard, not to pass our way again. PICARD: Picard to bridge, our guests will be leaving shortly... I need an emergency medical team here...",not picard,8.254064690838113,0.0,3.878856601896606
16,93284,WORF: They will not intervene. GOWRON: Perhaps not yet... but Starfleet Command will listen to Picard... and Picard listens to you. WORF: I can ask nothing more of him in this matter.,not picard,8.13947274626996,3.593558931990757,0.0
17,119047,"PICARD: Ah yes, Ardra's magic. Jared, would you believe me if I told you that I could steal Ardra's powers and perform the same magical acts as she? JARED: I am sorry, Captain Picard, but you are not Ardra. PICARD: That is true. I am not Ardra. And yet, I can create a tremor just as she did.",not picard,8.115576812891952,0.0,2.3561305445897553
18,104245,AJUR: So it finally begins. BORATUS: Picard must not be allowed to destroy the Uthat. AJUR: He will surrender it to us... or die.,not picard,8.115576812891952,0.0,0.0
19,89235,"PICARD: Captain Shumar, may I ask a foolish question? TROI: You are not one to ask foolish questions, Picard... PICARD: Nevertheless, I must ask how you intend to achieve your ""rest""... when all is said and done...",not picard,8.115576812891952,0.0,0.0
20,100730,"TROI: Of course it does. But it's not just a matter of taste. It's the whole experience. TROI: First you spoon the fudge from around the rim... leaving only ice cream in the middle... Then gently spoon the ice cream around the sides, like you're sculpting it... TROI : Relish every bite. Make every one an event. And on the last bite, close your eyes...",ice cream,16.42992514575848,0.0,0.0
